id,used,name,region,stemmedName,extractedName,latitude,longitude
5019,True,Anjalakkf,other,anjalakkf,Anjalakkf,,
5449,True,Anjanpelto,other,anjanpelto,Anjanpelto,,
5035,True,Anjat vi,,anjat v,Anjat vi,,
9074,True,Ankea,karelia,ank,Ankea,,
1935,True,Änkilä,karelia,änkil,Änkilä,,
1936,True,Änkilänsalo,karelia,änkilänsalo,Änkilänsalo,,
10933,True,anlahti,other,anlaht,anlahti,,
11957,True,Anlrea,,anlr,Anlrea,,
8264,True,Anna-Liisa,other,anna-liis,Anna-Liisa,,
12244,True,Annäntehdas,karelia,annäntehdas,Annäntehdas,,
10036,True,Annila,other,annil,Annila,61.21168,24.01568
7843,True,Annilankartano,other,annilankartano,Annilankartano,,
3063,True,Anota,other,ano,Anota,,
9832,True,Anomiemi,karelia,anomiem,Anomiemi,,
1271,True,Antti,other,ant,Ant,,
10145,True,Ant tola,,ant tol,Ant tola,,
7446,True,Antero,other,antero,Antero,,
6587,True,AntFea,karelia,antf,AntFea,,
10130,True,Antiea,karelia,antiea,Antiea,,
8209,True,Antjärvi,,antjärv,Antjärvi,,
11942,True,Antlampi,karelia,antlamp,Antlampi,,
4686,True,Antton,other,anto,Antton,,
10869,True,äntö,other,äntö,äntö,,
2337,True,Antola,other,antol,Antola,,
7009,True,Antoniina,other,anton,Antoniina,,
4428,True,Antonja,other,antonj,Antonja,,
249,True,Antrea,karelia,antr,Antrea,60.93333,29.16667
2401,True,Äntrea,karelia,äntr,Äntrea,,
7766,True,Antreassa,karelia,antrea,Antreassa,,
4430,True,Antreaas,karelia,antreaas,Antreaas,,
2278,True,Antreo,karelia,antreo,Antreo,,
5460,True,Antres,karelia,antres,Antres,,
5024,True,Äntres,karelia,äntres,Äntres,,
1203,True,Antroa,karelia,antro,Antroa,,
6575,True,Anttala,other,anttal,Anttala,,
5109,True,Anttanala,karelia,anttanal,Anttanala,,
2821,True,Anttija,other,anttij,Anttija,,
8230,True,Anttila,other,anttil,Anttila,,
7469,True,Anttilankylä,other,anttilankyl,Anttilankylä,,
4461,True,Anttoinen,other,anttoin,Anttoinen,,
3367,True,Anttola,other,anttol,Anttola,61.88652,29.07562
7687,True,Änttola,other,änttol,Änttola,,
4124,True,Anttolakk,karelia,anttolak,Anttolakk,,
11768,True,Anttosenmäki,other,anttosenmäk,Anttosenmäki,61.76446,29.86928
8620,True,Äotsä,,äots,Äotsä,,
7219,True,Aperla,karelia,aperl,Aperla,,
9272,True,Apul,other,apul,Apul,,
3048,True,Arantila,other,arantil,Arantila,61.36167,22.015
7783,True,Ararea,karelia,arar,Ararea,,
7345,True,Arenberg,other,arenberg,Arenberg,,
6864,True,Argangeli,karelia,argangel,Argangeli,,
6012,True,Argentiina,other,argent,Argentiina,,
8917,True,Aritrea,karelia,aritr,Aritrea,,
3694,True,arjokl,other,arjokl,arjokl,,
4513,True,Arkangeli,,arkangel,Arkangeli,,
5226,True,Ärkivaara,other,ärkivaar,Ärkivaara,,
7187,True,Arkjärvi,other,arkjärv,Arkjärvi,,
8957,True,Arkuntanhua,karelia,arkuntanhu,Arkuntanhua,60.66667,30.18333
2043,True,armaija,other,armaij,armaija,,
4055,True,Armas,other,armas,Armas,,
8605,True,Armasjärvi,other,armasjärv,Armasjärvi,,
5465,True,Armassaari,other,armassaar,Armassaari,66.25991,23.71661
2061,True,armeija,karelia,armeij,armeija,,
8376,True,armeijanpalv,other,armeijanpalv,armeijanpalv,,
7082,True,armeijantyössä,other,armeijantyö,armeijantyössä,,
8325,True,Arola,other,arol,Arola,60.43333,22.2
3742,True,Aromäenkylä,karelia,aromäenkyl,Aromäenkylä,,
460,True,Aromäki,karelia,aromäk,Aromäki,61.35112,29.84299
3538,True,Arpela,other,arpel,Arpela,66.027,24.40369
2543,True,Arrakoski,other,arrakosk,Arrakoski,61.38471,25.18808
8381,True,Arsene,other,arsen,Arsene,,
7955,True,Art,,art,Art,,
5201,True,Arthur,other,arthur,Arthur,60.44736,22.24247
9914,True,artikarvaara,karelia,artikarvaar,artikarvaara,,
793,True,Artjärvi,other,artjärv,Artjärvi,60.74544,26.07084
3995,True,Artjärvias,other,artjärvias,Artjärvias,,
2912,True,Artjärvikk,other,artjärvik,Artjärvikk,,
6925,True,Artola,,artol,Artola,,
4345,True,Artukainen,other,artukain,Artukainen,,
931,True,Arvi,other,arv,Arvi,,
6911,True,ärvi,other,ärv,ärvi,,
6486,True,Arvajakylä,other,arvajakyl,Arvajakylä,,
5481,True,Arvo,other,arvo,Arvo,,
3291,True,ASAA,karelia,asa,ASAA,,
8496,True,Asemäki,other,asemäk,Asemäki,,
9989,True,asemaseutu,karelia,asemaseutu,asemaseutu,,
4942,True,Asiakkala,other,asiakkal,Asiakkala,,
3622,True,Asikka,other,asik,Asikka,,
3323,True,Asikainen,other,asikain,Asikainen,,
1118,True,Asikkala,other,asikkal,Asikkala,,
8037,True,Äsikkala,other,äsikkal,Äsikkala,,
